TRAVEL_ID,VISIT_AREA_ID,ACTIVITY_TYPE_CD,ACTIVITY_TYPE_SEQ,CONSUME_HIS_SEQ,CONSUME_HIS_SNO,PAYMENT_NUM,BRNO,STORE_NM,ROAD_NM_ADDR,LOTNO_ADDR,ROAD_NM_CD,LOTNO_CD,PAYMENT_DT,PAYMENT_MTHD_SE,PAYMENT_AMT_WON,PAYMENT_ETC,SGG_CD
e_e003286,2306210004,1,0,0,1,2,7062400797,CU,경기 부천시 조마루로 2,경기 부천시 상동 572-1,3184016,4119010900,2023-06-21 09:49,1,5500,에코)반숙계란2입;아카페라UP아메리카노,
e_e002601,2306100001,3,0,0,1,2,,메가박스,경기 광명시 양지로 17,경기 광명시 일직동 512-3,3187066,4121010600,2023-06-10 11:13,1,22000,관람권,
e_e000702,2305200001,3,0,0,1,1,1358215727,수원문화재단,경기 수원시 팔달구 행궁로 11,,3176017,4111512300,2023-05-20 00:00,1,4000,입장권,
e_e000372,2305280003,1,0,0,1,4,5427000448,어향미가한정식,경기 이천시 경충대로 3066,,2012002,4150011100,2023-05-28 12:48,1,22000,수제떡갈비,
e_e000378,2306050002,1,5,5,1,3,3128500176,천안삼거리휴게소(상),충남 천안시 동남구 쉼1길 42,,4547423,4413111000,2023-05-05 09:29,1,5000,B)콜팝치킨,
e_e000833,2305250010,1,0,0,1,1,1041472370,커피가이,경기 수원시 팔달구 창룡대로103번길 132,,4328328,4111512800,2023-05-25 15:37,1,6600,(ICE) 청송사과쥬스 (100%착즙),
e_e000833,2305250007,1,0,0,1,1,5011595168,팔레센트,경기 수원시 팔달구 정조로 904-1,경기 수원시 팔달구 북수동 6-3,3012006,4111512900,2023-05-25 14:10,1,6500,,
e_e006889,2308150006,1,0,0,1,2,3818101789,(주)두머리,경기 양평군 양서면 두물머리길 103-8,경기 양평군 양서면 양수리 781,4451350,4183033021,2023-08-15 17:04,1,9000,,
e_e000008,2304290003,1,0,0,1,4,3174200683,노래하는 분수대 1호점,경기 고양시 일산동구 호수로 731,경기 고양시 일산동구 장항동 906,3192096,4128510400,,1,11000,현미쌀과자;농심]파워오투오렌지;ICE아메리카;삶은계란,
e_e000008,2304290003,2,1,1,1,4,1283595409,로자비,경기 고양시 일산동구 고봉로531번길 104,경기 고양시 일산동구 성석동 1447,4379023,4128511300,2023-04-29 15:59,1,10000,,
e_e000008,2304290004,1,0,0,1,4,1318167075,일산천지연,경기 고양시 일산동구 무궁화로 359,,3193011,4128510100,2023-04-29 18:30,1,49800,,
e_e000019,2304300002,1,0,0,2,2,2074600569,짚고기,경기 파주시 동산2길 37,경기 파주시 금촌동 940-10,4418163,4148010100,2023-04-30 14:40,1,53700,볏짚삼겹살;된장찌개;개란찜;공기밥;음료;깍뚝목살,
e_e000019,2304300004,1,0,0,2,2,7573000724,필무드,경기 파주시 광탄면 기산로 129,,3206109,4148035028,2023-04-30 16:36,1,18800,팡도르;우유 아이스크림;ice아메리카노,
e_e000027,2304300003,1,1,1,1,2,1780102142,역전분식,경기 가평군 가평읍 문화로 13-27,경기 가평군 가평읍 달전리 603-6,3216052,4182025023,2023-04-30 08:04,1,13000,김밥;유부우동,
e_e000027,2304300004,3,0,0,2,2,3448801057,큐패스코리아(주),경기 용인시 수지구 광교중앙로 338,,3177022,4146510700,2023-04-28 10:45,1,62700,브릿지 짚라인 이용권,
e_e000027,2304300005,1,0,0,1,2,7313700226,두메막국수,경기 가평군 가평읍 가화로 328,경기 가평군 가평읍 마장리 800-14,3000142,4182025029,2023-04-30 12:41,1,26000,,
e_e000027,2304300006,2,0,0,1,2,4812401276,유일닭강정,경기 가평군 가평읍 가화로 122,경기 가평군 가평읍 읍내리 471-2,3000142,4182025021,2023-04-30 13:16,1,19000,닭강정 중,
e_e000027,2304300007,2,2,2,1,2,6507800255,GS25,경기 가평군 가평읍 자라섬로 60,,3216034,4182025022,2023-04-30 14:27,1,6400,칠)사이다;포카리;포카칩,
e_e000027,2304300008,1,0,0,1,2,4814200209,남이섬안반지닭갈비,경기 가평군 가평읍 북한강변로 1061,,3216019,4182025023,2023-04-30 19:55,1,45000,매콤닭볶음밥;수제양념구이;메밀막국수,
e_e000027,2304300009,1,1,1,1,2,2018121515,스타벅스 남이섬점,경기 가평군 가평읍 북한강변로 1054,경기 가평군 가평읍 달전리 113-4,3216019,4182025023,2023-04-30 20:01,1,5900,T)유자 민트 티,
e_e000032,2304280002,1,0,0,1,4,1308536067,맥도날드,경기 부천시 길주로 118,경기 부천시 상동 540-1,3000065,4119010900,2023-04-28 19:59,1,28200,초코 쉐이크-M;빅맥/세트;상하이버거/세트;맥너겟/해피밀;치킨턴더;치즈버거,
e_e000032,2304300001,1,0,0,1,4,1278204442,장흥농협송추지소(마트),경기 양주시 장흥면 호국로 561,경기 양주시 장흥면 부곡리 539-1,3000136,4163034023,2023-04-30 19:39,1,130970,,
e_e000032,2304300002,3,0,0,1,4,1278602011,화현개발(주)포레스트힐,경기 포천시 화현면 봉화로 253,,3213053,4165041022,2023-04-30 17:53,1,287300,,
e_e000035,2304290002,1,0,0,1,4,1348550644,시화나래 휴게소 가판1(호두),경기 안산시 단원구 대부황금로 1927,,3191019,4127311000,2023-04-29 13:03,1,8000,옛날핫도그,
e_e000035,2304290002,1,0,0,2,4,1348550644,가판(우-1/우리밀),경기 안산시 단원구 대부황금로 1927,,3191019,4127311000,2023-04-29 13:04,1,7000,(보류)롱 도그(햄);땡초 고로케(1EA),
e_e000035,2304290002,1,0,0,3,4,1348550644,"가판(좌-2/델,고,B)",경기 안산시 단원구 대부황금로 1927,,3191019,4127311000,2023-04-29 13:22,1,6000,델리만쥬 ,
e_e000035,2304290003,2,0,0,1,4,2068602478,주식회사 엘마트,경기 안산시 단원구 대부황금로 1295,,3191019,4127311100,2023-04-29 14:01,1,4280,청정원허브맛솔트;롯데목캔디믹스베리,
e_e000035,2304290003,2,0,0,2,4,2068602478,주식회사 엘마트,경기 안산시 단원구 대부황금로 1295,,3191019,4127311100,2023-04-29 14:03,1,2970,농심튀김우동큰사;팔도)김치왕뚜껑;팔도)김치왕뚜껑,
e_e000035,2304290004,2,0,0,1,4,8986200346,파리바게뜨,경기 안산시 단원구 대선로 6,,3000118,4127311100,2023-04-29 14:09,1,24000,클래식쇼콜라,
e_e000035,2304300002,1,0,0,1,4,4422701234,연평도 동춘게장,인천 연수구 앵고개로246번길 39-5,인천 연수구 동춘동 934-5,4256161,2818510500,2023-04-30 14:34,1,60700,5마리 정식(1인분);공기밥,
e_e000036,2304290003,6,0,0,0,2,,이형무이비인후과,이문안로 70 록천빌딩 302호,,,,,1,6400,,4131010500
e_e000036,2304290005,1,0,0,1,2,6668801317,(주)오양식관,서울 중구 세종대로21길 49,,4103195,1114010300,2023-04-29 14:16,1,19000,,
e_e000036,2304290006,1,0,0,1,2,2018121515,스타벅스 정동점,서울 종로구 새문안로 42,서울 종로구 신문로2가 89-27,3005004,1111012100,2023-04-29 14:38,1,14500,T)히비스커스 TEA;I-T)차이 티 라떼;생크림 카스텔라,
e_e000036,2304290009,3,0,0,1,2,,덕수궁,서울 중구 세종대로 99,서울 중구 정동 5-1,2005001,1114016700,2023-04-29 16:00,1,2000,입장권,
e_e000036,2304290014,1,0,0,1,2,1011030806,창신육회본점,서울 종로구 종로 200-8,서울 종로구 종로4가 165-3,3100013,1111016100,2023-04-29 18:26,1,32000,,
e_e000036,2304290015,1,0,0,1,2,4792501590,모녀김밥,서울 종로구 동호로 403-23,서울 종로구 종로5가 395-4,3005001,1111016300,2023-04-29 19:22,1,22000,녹두빈대떡;떡볶이;순대;테라;환타,
e_e000315,2305240005,3,0,0,0,1,,오리이원익종택,경기 광명시 오리로347번길 5-6 충현서원,,,,,3,5000,,4121010400
e_e000315,2305240006,3,0,0,0,1,,광명동굴,경기 광명시 가학로85번길 142,,,,,3,6000,,4121010700
e_e000315,2305250003,1,0,0,0,1,,올리앤 위례점,경기 성남시 수정구 위례서일로1길 3,,,,,1,20400,,4113110800
e_e000315,2305250005,1,0,0,0,1,,마망베이커리카페4호점,경기 성남시 수정구 수정로 386 꿈꾸는 예술터 2층,,,,,3,3000,,4113110500
e_e000315,2305250006,1,0,0,1,1,7204300630,히사,경기 성남시 중원구 제일로63번길 22,,4337424,4113310100,2023-05-25 19:12,1,43000,오코노미야끼;매실 에이드;돈페이야끼,
e_e000328,2305270002,1,0,0,1,4,2118761044,할리스,인천 연수구 테크노파크로 180,인천 연수구 송도동 24-17,3152031,2818510600,2023-05-27 16:35,1,20000,더블베리 초코 쏘스윗박스;샤인머스캣 봉봉 스무디;토마토 통통 주스,
