TRAVEL_ID,ADV_NM,ADV_SEQ,PAYMENT_NUM,BRNO,STORE_NM,ROAD_NM_ADDR,LOTNO_ADDR,ROAD_NM_CD,LOTNO_CD,PAYMENT_DT,PAYMENT_MTHD_SE,PAYMENT_AMT_WON,PAYMENT_ETC,SGG_CD
e_e000032,숙박,0,4,,그레이캐슬팬션,권율로309번길 67,,,,,1,150000,,4163034000
e_e000378,놀이공원체험권,0,3,,야놀자레저,테헤란로 427,,,,,1,84020,,1168010500
e_e000411,터키이스탄불문화원 클래스예약,1,1,2148624793,터키이스탄불문화원(주),서울 서초구 반포대로 98,서울 서초구 서초동 1544-2,2121003,1165010800,2023-04-06 12:35,3,130000,,
e_e000554,휘발유주유,1,2,5288501218,서일석유(주) 분당대일주유소,경기 성남시 분당구 양현로 312,경기 성남시 분당구 야탑동 348,3180042,4113510700,2023-05-24 13:11,1,70000,주유비,
e_e000586,주유,1,3,4678702842,GS칼텍스,인천 중구 축항대로 282,인천 중구 신흥동3가 47-1,2149003,2811012800,2023-05-21 17:10,1,97000,주유비,
e_e000758,미술 및 경복궁 관람 티켓,1,2,,서울시립미술관,서울 관악구 남부순환로 2076,서울 관악구 남현동 1059-13,2000003,1162010300,2023-05-25 00:00,1,12000,에드워드 호퍼: 길 위에서,
e_e000758,미술 및 경복궁 관람 티켓,3,2,1058617891,(주)지엔씨미디어,서울 마포구 동교로 156-4,서울 마포구 서교동 352-11,3112014,1144012000,2023-05-09 17:26,1,20000,더현대서울 프랑스국립현대미술관전:라울 뒤피,
e_e000928,커피 빼빼로,1,1,5945300495,GS25,경기 평택시 서재로 18,경기 평택시 동삭동 711-5,3198040,4122011900,2023-05-26 20:58,3,4900,바리스타블랙; 녹차빼빼로,
e_e001231,음식재료 꽃개찜;라면;김찌찌개;목살,0,1,,구리농수산물시장,경기 구리시 동구릉로136번길 90 구리농수산물시장,,,,,3,200000,,4131010300
e_e001948,레일바이크 탑승권,1,2,,영종씨사이드 레일바이크 주식회사,인천 중구 구읍로 63,인천 중구 중산동 1957-2,3149080,2811014500,2023-05-29 23:55,1,23000,인천 영종도 씨사이드 레일바이크 탑승권,
e_e002124,자유이용권 4장,0,4,,삼성물산(주)에버랜드,에버랜드,,,,,1,260000,,4146125000
e_e002504,연극티켓,1,2,,솜씨당,,,,,2023-06-08 00:00,1,110000,대학로 혜화역 레트로 코미디 연극 라면,
e_e002608,고기외음료,1,4,2208160348,홈플러스,서울 성북구 보문로 61,서울 성북구 보문동7가 25-1,3005003,1129012900,2023-08-20 20:12,1,110750,생물오징어;해남깐마늘;비빔쫄면;부드러운 빵또아;농심 새우깡기획팩,
e_e002689,게임 상품용 스타벅스 기프트 카드,4,5,2018121515,스타벅스,경기 평택시 중앙2로 13,경기 평택시 평택동 291,3188083,4122011300,2023-06-09 21:21,1,30000,카드충전,
