COMPANION_SEQ,TRAVEL_ID,REL_CD,COMPANION_GENDER,COMPANION_AGE_GRP,COMPANION_SITUATION
1,e_e000008,1,1,5,1
3,e_e000008,2,2,2,1
2,e_e000008,2,1,2,1
1,e_e000019,1,2,5,1
1,e_e000027,1,1,5,1
1,e_e000032,8,2,4,1
3,e_e000032,7,1,4,3
2,e_e000032,7,1,4,3
2,e_e000035,2,1,2,1
1,e_e000035,1,2,5,1
3,e_e000035,2,1,2,1
1,e_e000036,8,1,4,3
2,e_e000328,7,2,3,3
1,e_e000328,7,1,4,3
3,e_e000328,7,2,4,1
1,e_e000358,6,2,5,3
3,e_e000358,6,1,3,3
2,e_e000358,6,2,2,3
2,e_e000372,2,2,1,1
1,e_e000372,1,1,5,1
3,e_e000372,2,1,2,1
1,e_e000378,2,2,2,2
2,e_e000378,2,1,2,1
1,e_e000393,1,2,5,1
3,e_e000393,2,1,1,1
2,e_e000393,2,1,2,1
1,e_e000421,7,2,4,1
2,e_e000421,7,2,4,1
2,e_e000440,2,1,1,1
1,e_e000440,1,1,4,1
3,e_e000440,2,2,1,1
1,e_e000487,1,2,4,1
2,e_e000487,2,1,1,1
1,e_e000542,6,1,3,1
1,e_e000554,1,2,6,1
1,e_e000572,1,1,4,1
3,e_e000572,3,1,8,3
2,e_e000572,2,2,1,1
4,e_e000572,3,2,8,3
2,e_e000586,2,2,5,1
1,e_e000586,2,1,5,1
1,e_e000600,1,1,4,1
1,e_e000653,8,2,3,1
1,e_e000659,1,1,4,1
2,e_e000678,2,2,1,1
1,e_e000678,1,1,4,1
2,e_e000703,2,1,1,1
1,e_e000703,1,2,5,1
1,e_e000716,1,1,4,1
3,e_e000716,2,2,1,1
2,e_e000716,2,1,1,1
1,e_e000758,2,2,2,1
1,e_e000781,1,1,6,1
1,e_e000809,8,2,3,3
1,e_e000898,7,2,5,1
1,e_e000928,6,2,3,1
1,e_e000965,1,1,6,1
1,e_e000988,2,2,2,1
1,e_e000989,8,1,4,1
1,e_e001035,7,1,4,1
1,e_e001082,7,2,3,1
2,e_e001109,2,2,2,1
1,e_e001109,1,2,6,1
3,e_e001109,2,2,2,1
1,e_e001129,1,1,4,1
2,e_e001129,2,1,1,1
1,e_e001162,8,1,4,3
1,e_e001185,1,2,5,1
2,e_e001185,2,1,1,1
1,e_e001232,1,2,5,1
2,e_e001232,2,2,1,1
1,e_e001374,1,2,4,1
3,e_e001374,3,2,7,1
2,e_e001374,3,1,8,1
4,e_e001374,2,2,1,1
1,e_e001403,3,2,6,1
1,e_e001506,1,1,5,1
2,e_e001506,2,2,1,1
1,e_e001524,7,2,3,1
2,e_e001541,2,1,2,1
1,e_e001541,1,2,5,1
1,e_e001895,8,1,4,3
2,e_e001934,2,2,1,1
1,e_e001934,1,1,5,1
1,e_e001948,8,1,3,1
1,e_e001973,1,2,6,1
2,e_e002012,3,1,7,1
1,e_e002012,3,2,7,1
1,e_e002040,1,1,7,1
1,e_e002098,9,2,4,1
1,e_e002104,7,2,5,1
3,e_e002104,7,2,5,1
2,e_e002104,7,2,5,1
1,e_e002124,1,1,5,1
3,e_e002124,2,1,1,1
2,e_e002124,2,1,1,1
1,e_e002137,1,1,4,1
1,e_e002147,1,1,4,1
1,e_e002156,7,2,3,1
1,e_e002203,7,2,4,1
1,e_e002217,2,1,2,1
2,e_e002217,2,1,1,1
1,e_e002229,1,2,5,1
3,e_e002229,2,2,2,1
2,e_e002229,2,1,2,1
1,e_e002282,1,2,4,1
2,e_e002298,2,2,2,1
1,e_e002298,1,1,5,1
1,e_e002309,2,1,1,1
1,e_e002325,1,2,6,1
1,e_e002350,1,2,5,1
2,e_e002350,2,1,1,1
1,e_e002359,1,2,4,1
3,e_e002359,2,1,1,1
5,e_e002359,3,2,7,1
2,e_e002359,2,2,1,1
4,e_e002359,3,1,7,1
2,e_e002385,3,1,7,1
1,e_e002385,5,2,4,3
3,e_e002385,3,2,7,1
1,e_e002445,8,1,3,1
1,e_e002449,7,2,3,1
1,e_e002504,8,2,4,1
2,e_e002535,7,2,3,1
1,e_e002535,7,2,3,1
3,e_e002535,7,2,3,3
2,e_e002564,10,2,4,1
4,e_e002564,10,1,4,1
1,e_e002564,10,2,4,1
3,e_e002564,10,2,5,1
5,e_e002564,10,1,5,1
1,e_e002578,8,1,4,1
1,e_e002601,7,1,3,3
2,e_e002608,5,1,6,3
1,e_e002608,1,1,6,1
3,e_e002608,5,2,6,3
1,e_e002669,8,1,4,3
2,e_e002676,5,1,4,3
1,e_e002676,5,2,3,3
1,e_e002689,7,2,3,2
3,e_e002689,7,2,3,1
5,e_e002689,7,1,3,1
2,e_e002689,7,2,3,2
4,e_e002689,7,2,3,1
1,e_e002758,1,2,4,1
2,e_e002758,2,2,1,1
1,e_e002785,8,1,3,1
