TRAVEL_ID,LODGING_NM,LODGING_PAYMENT_SEQ,LODGING_TYPE_CD,RSVT_YN,CHK_IN_DT_MIN,CHK_OUT_DT_MIN,PAYMENT_NUM,BRNO,STORE_NM,ROAD_NM_ADDR,LOTNO_ADDR,ROAD_NM_CD,LOTNO_CD,PAYMENT_DT,PAYMENT_MTHD_SE,PAYMENT_AMT_WON,PAYMENT_ETC
e_e000032,그레이캐슬펜션,0,3,Y,,,4,,,경기 양주시 장흥면 권율로309번길 67-22,경기 양주시 장흥면 석현리 360-19,,,,1,150000,
e_e000032,호텔플로체,1,1,Y,,,4,,청우건설(주)플로체,경기 부천시 길주로77번길 19-24,경기 부천시 상동 532-21,4352032,4119010900,2023-04-28 19:48,3,80000,
e_e000035,온더비치풀빌라,1,3,Y,,,4,,주식회사 인터파크,서울 강남구 삼성로 512,,3122005,1168010500,2023-04-19 16:52,1,290000,대부도(영흥도) 온더비치풀빌라(럭셔리 글램핑)
e_e000035,온더비치풀빌라,3,3,Y,,,4,,온더비치풀빌라펜션,인천 옹진군 영흥면 선재로306번길 27-115,,4274094,2872036023,2023-04-29 14:43,1,110000,숙박비
e_e000035,온더비치풀빌라,4,3,Y,,,4,,온더비치풀빌라펜션,인천 옹진군 영흥면 선재로306번길 27-115,,4274094,2872036023,2023-04-29 14:59,1,20000,숙박비
e_e000035,온더비치풀빌라,5,3,Y,,,4,,온더비치글램핑&풀빌라,인천 옹진군 영흥면 선재로306번길 27-115,,4274094,2872036023,2023-04-30 00:00,1,10000,숙박비
e_e000372,이천농업테마공원 어농골펜션,0,3,Y,,,4,,,경기 이천시 모가면 공원로 48,경기 이천시 모가면 어농리 871-3,,,,1,80000,
e_e000378,골든튤립에버 용인호텔,0,1,Y,,,3,,,경기 용인시 처인구 포곡읍 전대로78번길 19-2,경기 용인시 처인구 포곡읍 전대리 356-1,,,,1,171360,
e_e000393,태그하우스,0,3,Y,,,4,,,인천 강화군 길상면 동검길154번길 24-19,인천 강화군 길상면 동검리 262,,,,1,450000,
e_e000542,프리미어 호텔 XYM,1,1,Y,,,2,,주식회사 여기어때컴퍼니,서울 강남구 봉은사로 479,,3122004,1168010500,2023-05-22 15:28,3,59800,MO-디럭스 주차불가(도보
e_e000572,아인티오펜션,1,3,Y,,,5,,(주)여기어때컴퍼니,서울 강남구 봉은사로 479,,3122004,1168010500,2023-05-25 00:00,3,414000,남양주 아인티오 키즈펜션 
