TRAVEL_ID,MVMN_SE,PAYMENT_SE,PAYMENT_SEQ,MVMN_SE_NM,RSVT_YN,PAYMENT_NUM,BRNO,STORE_NM,PAYMENT_DT,PAYMENT_MTHD_SE,PAYMENT_AMT_WON,PAYMENT_ETC
e_e000019,1,주유비,0,자가용(승용/승합/트럭 등등),N,2,,,,,30000,
e_e000027,4,교통비,1,택시,N,2,1821400541,,2023-04-30 08:47,1,9700,택시비
e_e000027,4,교통비,2,택시,N,2,1320915031,,2023-04-30 11:57,1,7600,택시비
e_e000027,5,교통비,0,지하철,N,2,,,,,7400,
e_e000032,1,주유비,0,자가용(승용/승합/트럭 등등),N,4,,,,,50000,
e_e000035,1,주유비,0,자가용(승용/승합/트럭 등등),N,4,,,,,30000,
e_e000035,1,주차비,0,자가용(승용/승합/트럭 등등),N,4,,,,,1800,
e_e000035,1,통행료,0,자가용(승용/승합/트럭 등등),N,4,,,,,10000,
e_e000036,5,교통비,0,지하철,N,2,,,,,5800,
e_e000315,5,교통비,0,지하철,N,1,,,,,6600,
e_e000328,1,주유비,0,자가용(승용/승합/트럭 등등),N,4,,,,,50000,
e_e000328,1,주차비,0,자가용(승용/승합/트럭 등등),N,4,,,,,7000,
e_e000328,1,통행료,0,자가용(승용/승합/트럭 등등),N,4,,,,,6100,
e_e000372,1,주유비,0,자가용(승용/승합/트럭 등등),N,4,,,,,20000,
e_e000372,1,통행료,0,자가용(승용/승합/트럭 등등),N,4,,,,,15600,
e_e000378,1,주유비,0,자가용(승용/승합/트럭 등등),N,3,,,,,22980,
e_e000378,1,주차비,0,자가용(승용/승합/트럭 등등),N,3,,,,,21000,
e_e000378,1,통행료,0,자가용(승용/승합/트럭 등등),N,3,,,,,9500,
e_e000378,4,교통비,0,택시,N,3,,,,,4000,
e_e000393,1,주유비,0,자가용(승용/승합/트럭 등등),N,4,,,,,25000,
e_e000411,14,렌탈비,1,자전거,N,1,,따릉이,2023-05-19 19:59,3,2000,일일 회원(2시간권)
e_e000411,5,교통비,0,지하철,N,1,,,,,2700,
e_e000411,8,교통비,1,새마을/무궁화열차,N,1,3148210024,한국철도공사,2023-05-19 09:15,1,9300,기차표
e_e000421,50,교통비,0,버스 + 지하철,N,3,,,,,20000,
e_e000421,7,교통비,0,KTX/SRT(고속열차),N,3,,,,,20200,
e_e000440,1,주유비,0,자가용(승용/승합/트럭 등등),N,4,,,,,40000,
e_e000440,1,통행료,0,자가용(승용/승합/트럭 등등),N,4,,,,,2400,
e_e000446,4,교통비,0,택시,N,1,,,,,20000,
e_e000446,8,교통비,0,새마을/무궁화열차,N,1,,,,,24000,
e_e000465,4,교통비,0,택시,N,1,,,,,6300,
e_e000465,50,교통비,0,버스 + 지하철,N,1,,,,,30100,
e_e000467,5,교통비,0,지하철,N,1,,,,,5200,
