TRAVEL_ID,TRAVEL_NM,TRAVELER_ID,TRAVEL_PURPOSE,TRAVEL_START_YMD,TRAVEL_END_YMD,MVMN_NM,TRAVEL_PERSONA,TRAVEL_MISSION,TRAVEL_MISSION_CHECK
e_e000008,E03,e000008,3;4,2023-04-29,2023-04-30,,서울 외 수도권 방문/수도권 거주/40세 이상/자녀동반/일반미션,3;4,3;9;11
e_e000019,E03,e000019,1;4,2023-04-30,2023-05-01,,서울 외 수도권 방문/수도권 거주/40세 이상/부부/일반미션,1;4,3;13;22
e_e000027,E03,e000027,2;5;21,2023-04-30,2023-05-01,,서울 외 수도권 방문/수도권 거주/40세 이상/부모 동반/일반미션,2;5;21,5;21;2
e_e000032,E03,e000032,2;23;24;5;7,2023-04-28,2023-05-02,,경기 방문/거주지 구분 없음/39세 이하/특별미션,2;23;24;5;7,5;24;8
e_e000035,E02,e000035,21,2023-04-29,2023-05-01,,인천 방문/거주지 구분 없음/40세 이상/특별미션,21,21;23;24
e_e000036,E01,e000036,3,2023-04-29,2023-04-30,,서울 방문/수도권 거주/39세 이하/커플/일반미션,3,3;28;21
e_e000315,E03,e000315,1;22;4;5;7,2023-05-23,2023-05-26,대중교통 등,경기 방문/거주지 구분 없음/39세 이하/특별미션,1;22;4;5;7,3;24;1
e_e000328,E02,e000328,4;9,2023-05-27,2023-05-28,자가용,서울 외 수도권 방문/수도권 거주/39세 이하/나홀로 여행/일반미션,4;9,4;9;5
e_e000358,E03,e000358,1;22;4,2023-05-27,2023-05-29,자가용,서울 외 수도권 방문/수도권 거주/39세 이하/3대 동반 여행/일반미션,1;22;4,2;1;11
e_e000372,E03,e000372,11;6,2023-05-28,2023-05-30,자가용,서울 외 수도권 방문/수도권 거주/39세 이하/3인 이상 친구/일반미션,11;6,6;22;11
e_e000378,E03,e000378,2;3;21;23,2023-06-05,2023-06-07,자가용,서울 외 수도권 방문/수도권 외 거주/40세 이상/자녀동반/일반미션,2;3;21;23,2;3;23
